ST,USFS_Code,Description,Montane_low,Montane,Subalpine,Alpine,Dry,Non_Dry,Alluviam,Glacial,Sed_mix,Ign_Meta,Aquolis_cmplx,Argiborolis_Pachic,Borohemists_cmplx,Bross,Bullwark,Bullwark_Cmplx,Catamount,Catamount_cmplx,Cathedral,Como,Cryaquepts_cmplx,Cryaquepts_Typic,Cryaquolls,Cryaquolls_cmplx,Cryaquolls_Typic,Cryaquolls_Typic_cmplx,Cryoborolis_cmplx,Cryorthents,Cryorthents_cmplx,Cryumbrepts,Cryumbrepts_cmplx,Gateview,Gothic,Granile,Haploborolis,Legault,Legault_cmplx,Leighcan,Leighcan_cmplx,Leighcan_warm,Moran,Ratake,Ratake_cmplx,Rogert,Supervisor_Limber_cmplx,Troutville,Unspecified,Vanet,Wetmore,Bouldery_ext,Rock_Land,Rock_Land_cmplx,Rock_Outcrop,Rock_Outcrop_cmplx,Rubbly,Stony,Stony_extreme,Stony_very,Till_Substratum
36,8707,Bross family - Rock land - Cryumbrepts complex- extremely stony.,,,,1,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,
11,4704,Bullwark - Catamount families - Rock land complex rubbly.,,1,,,,1,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,
10,4703,Bullwark - Catamount families - Rock outcrop complex rubbly.,,1,,,,1,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
13,4758,Catamount family - Rock land - Bullwark family complex rubbly.,,1,,,,1,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,
32,7756,Catamount family - Rock outcrop - Leighcan family complex extremely stony.,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,1,,
1,2702,Cathedral family - Rock outcrop complex extremely stony.,1,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,
29,7745,Como - Legault families complex extremely stony.,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,
30,7746,Como family - Rock land - Legault family complex extremely stony.,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,1,,
16,6101,Cryaquolls - Cryoborolis complex.,,1,1,,,1,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,7790,Cryorthents - Rock land complex extremely stony.,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,
35,8703,Cryumbrepts - Rock outcrop - Cryaquepts complex.,,,,1,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
17,6102,Gateview family – Cryaquolls complex.,,1,1,,,1,1,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,3501,Gothic family.,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
26,7702,Granile - Catamount families complex very stony.,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,
3,2704,Haploborolis - Rock outcrop complex rubbly.,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,
12,4744,Legault family - Rock land complex stony.,,1,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,
33,7757,Leighcan - Catamount families - Rock outcrop complex extremely stony.,,,1,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,
31,7755,Leighcan - Catamount families complex extremely stony.,,,1,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,
38,8771,Leighcan - Moran families - Cryaquolls complex extremely stony.,,,,1,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,
28,7710,Leighcan family - Rock outcrop complex extremely stony.,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,1,,
24,7700,Leighcan family extremely stony.,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,
23,7202,Leighcan family till substratum - Typic Cryaquolls complex.,,,1,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1
22,7201,Leighcan family till substratum extremely bouldery.,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1
27,7709,Leighcan family warm - Rock outcrop complex extremely stony.,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,1,,
25,7701,Leighcan family warm extremely stony.,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,
39,8772,Moran family - Cryorthents - Leighcan family complex extremely stony.,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,
40,8776,Moran family - Cryorthents - Rock land complex extremely stony.,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,
14,5101,Pachic Argiborolis - Aquolis complex., ,1,,,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2705,Ratake family - Rock outcrop complex rubbly.,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,1,,,,
37,8708,Rock outcrop - Cryumbrepts - Cryorthents complex extremely stony.,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,
18,6731,Rogert family very stony.,,1,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,
8,3502,Supervisor - Limber families complex.,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
